user_id_1,user_id_2,label
1065,1713,1
1005,1059,0
563,842,1
1327,1526,1
1268,1702,0
444,1527,0
115,518,0
1780,1825,0
947,1615,0
328,1987,1
1205,1411,1
1054,1867,0
255,1854,1
836,1558,1
348,1021,1
581,985,1
320,1259,1
679,818,1
421,1190,0
865,1159,1
557,1564,0
1024,1409,0
101,1953,1
554,714,1
724,1608,0
1777,1914,1
459,887,0
5,1671,1
1406,1759,0
1280,1423,0
832,1722,1
1527,1672,1
753,1388,1
989,1004,1
861,1309,0
1590,1873,0
98,584,0
1101,1584,0
736,1099,1
540,1813,0
351,727,0
259,1084,1
379,421,0
593,1022,1
21,967,1
756,1701,0
279,1761,0
162,1093,0
695,910,0
550,992,0
804,1508,0
8,1848,0
32,1298,0
259,1723,0
1046,1484,0
878,1102,0
1194,1986,0
172,1374,0
548,743,1
91,834,1
935,1401,0
532,1555,0
541,1267,0
43,436,1
136,806,1
969,1839,1
926,1440,1
204,1969,1
798,1565,0
492,649,0
221,1978,0
1093,1428,0
158,980,0
793,1965,1
28,1107,1
1389,1890,1
33,1746,0
907,1738,0
1104,1679,1
393,621,0
823,1938,0
562,1778,1
515,1287,0
403,1558,1
412,1384,1
349,724,0
923,1292,0
720,1831,1
162,487,1
1509,1510,0
1387,1458,1
393,1223,1
582,1140,0
238,605,1
980,1375,0
551,1404,0
614,873,1
871,1605,1
193,1941,0
996,1582,0
27,1168,0
1570,1924,1
128,1451,0
1131,1412,0
326,1980,1
579,1204,0
1055,1942,0
128,153,0
305,1732,0
879,1306,1
1091,1898,0
1118,1478,0
469,1330,1
24,750,1
206,598,0
1348,1528,1
427,1296,0
1132,1921,1
282,1734,1
1792,1805,0
1076,1683,0
90,1820,1
636,1361,1
1026,1487,1
842,1398,0
285,1808,0
340,1873,1
566,1102,0
1232,1418,1
993,1764,0
1048,1616,0
311,1364,1
207,816,1
191,766,1
755,959,1
335,656,1
548,1094,0
50,322,1
464,515,1
76,1253,0
378,1019,0
849,1102,0
1056,1128,0
505,1201,0
282,767,1
246,1685,1
203,855,1
347,1118,0
143,1281,1
1176,1334,1
281,1260,0
1291,1349,1
419,1454,0
1133,1578,0
634,1430,1
203,833,0
729,1298,1
684,1121,0
326,721,0
350,1713,0
1398,1405,0
973,1605,0
116,1365,0
870,1513,0
279,476,1
654,1440,1
743,869,0
17,883,1
678,1900,0
80,1506,0
157,1268,0
1238,1705,1
881,1598,0
1722,1724,0
506,918,0
53,1683,1
225,1208,0
723,1223,1
63,590,1
402,1065,0
555,834,1
1795,1982,1
183,1225,0
113,987,0
996,1678,1
321,1994,1
1261,1846,0
19,1881,1
643,924,1
143,1323,1
85,600,1
296,1572,0
1433,1797,0
270,1434,1
693,1056,0
1155,1225,1
522,1692,0
186,1071,1
1145,1830,0
355,485,1
249,875,1
153,694,0
194,313,1
1606,1609,0
943,1492,1
1526,1743,1
1491,1897,0
450,1634,1
400,1163,0
678,837,0
195,1580,0
32,971,0
850,1704,0
195,929,1
1217,1882,1
265,442,0
174,1424,1
1569,1992,0
1135,1767,1
1688,1815,1
129,644,1
119,462,0
537,573,0
322,1794,0
497,1467,1
1535,1675,0
962,1225,0
250,1070,1
136,1966,0
115,1988,1
1231,1549,0
23,535,1
395,697,1
112,1156,0
919,1258,0
531,847,1
484,770,0
909,1004,0
533,758,0
886,1242,1
1185,1681,0
811,1671,1
1613,1760,0
664,1605,0
770,1322,1
254,1221,1
1609,1854,0
154,1176,1
802,1553,1
906,1618,1
804,841,1
1582,1996,0
153,1647,0
33,393,1
582,974,0
630,1774,1
1146,1965,0
187,1943,1
391,1671,0
221,907,0
48,1241,1
546,1852,0
447,873,0
331,1386,1
386,473,0
781,1062,1
1300,1366,1
27,855,1
739,925,1
65,945,0
220,1182,1
754,1083,1
74,430,1
701,925,1
868,1461,1
886,1719,1
977,1445,1
1191,1284,1
461,754,0
775,1729,1
856,1308,1
1926,1944,0
1512,1973,1
964,1164,1
108,946,1
1382,1446,0
645,778,1
869,1473,1
116,1587,0
278,859,1
597,1723,0
1623,1756,1
1592,1621,1
1033,1050,1
668,814,0
59,868,0
416,614,0
681,1395,0
1509,1565,0
428,1499,0
709,1515,0
1175,1898,1
1714,1730,1
218,1864,0
288,1132,0
133,1279,1
1648,1849,0
306,763,1
57,1264,0
62,1898,1
609,1396,1
931,1367,1
1067,1216,1
842,857,0
588,642,0
1414,1493,1
1357,1393,1
150,247,0
30,528,1
866,1889,0
261,438,0
192,1441,0
134,1325,0
340,778,0
1398,1521,1
771,1327,1
168,1134,0
920,1942,1
621,1605,1
1453,1959,1
126,1773,0
465,1432,1
1408,1640,1
292,324,0
982,1798,1
1411,1816,1
280,297,0
165,1761,0
216,618,1
1503,1656,0
79,843,1
334,1489,0
559,1080,1
258,314,1
923,1010,0
1016,1144,1
244,1625,0
825,1317,1
964,1972,1
235,1534,0
215,1409,1
787,1264,1
524,670,0
1430,1496,0
573,1397,1
255,1065,0
126,1643,0
1089,1163,0
579,1311,1
287,929,0
36,90,1
35,1817,1
1162,1569,1
1223,1829,0
732,1492,0
1068,1248,0
1043,1700,1
315,1795,1
292,1440,1
511,872,1
1347,1846,0
734,1011,1
1321,1436,0
325,756,1
43,678,1
1773,1930,1
793,1829,1
754,852,0
447,758,0
180,1914,0
206,1309,1
1501,1743,0
1586,1969,0
975,1328,1
664,1008,1
581,1100,0
758,913,1
278,970,1
272,1701,0
940,1469,0
64,1512,0
1047,1648,1
771,1687,1
357,1427,0
565,652,0
375,1905,1
1087,1548,1
229,786,1
529,1128,0
377,508,1
1451,1676,1
438,1482,1
92,1168,0
653,1691,1
636,761,1
310,795,1
1930,1994,1
1345,1681,0
544,1218,1
86,375,0
955,1191,0
326,862,1
744,868,1
552,1755,1
554,877,1
881,1973,0
1092,1226,1
1187,1779,0
1591,1753,0
1020,1169,1
15,511,1
1066,1900,1
363,752,1
876,907,0
493,1779,1
612,1457,1
895,1784,0
1006,1336,0
1249,1943,1
478,1383,1
19,1293,0
752,998,0
1,1401,0
688,1157,0
999,1495,1
517,1769,1
1486,1812,0
1182,1209,0
446,1007,1
1447,1831,0
1486,1517,1
764,1675,0
448,1874,0
50,942,1
841,1827,1
1159,1572,1
974,1358,1
680,1656,1
1060,1153,0
350,1111,0
24,1140,0
1164,1791,1
575,1099,1
611,1174,0
262,1756,1
